"Advanced configuration","Advanced configuration"
"PDF format A4 : impression bureautique en PDF, de dimension A4, et de résolution 300dpi","PDF format A4 : impression bureautique en PDF, de dimension A4, et de résolution 300dpi"
"PDF format 10x15cm : impression bureautique en PDF, de dimension 10cm par 15cm, et de résolution 300dpi","PDF format 10x15cm : impression bureautique en PDF, de dimension 10cm par 15cm, et de résolution 300dpi"
"La Poste Colissimo","La Poste Colissimo"
"La Poste Colissimo Advanced Setup","La Poste Colissimo Advanced Setup"
"General configuration","General configuration"
ID,ID
"ID of your account for La Poste webservices","ID of your account for La Poste webservices"
Password,Password
"Password to connect to La Poste webservices and use the module","Password to connect to La Poste webservices and use the module"
Labels,Labels
"Outward label print format","Outward label print format"
"Return label print format","Return label print format"
(none),(none)
R1,R1
R2,R2
R3,R3
"Delegates label generation to ColiShip?","Delegates label generation to ColiShip?"
"If enabled, this module will not automatically generate label for each Colissimo shipment.","If enabled, this module will not automatically generate label for each Colissimo shipment."
"Order status after label generation","Order status after label generation"
"Order status to apply after successful label generation.","Order status to apply after successful label generation."
"Use cash on delivery?","Use cash on delivery?"
"If enabled, each label generation will use cash on delivery feature by default.","If enabled, each label generation will use cash on delivery feature by default."
"Use Colissimo Insurance?","Use Colissimo Insurance"
"If enabled, each label generation will use Colissimo Insurance feature by default.","If enabled, each label generation will use Colissimo Insurance feature by default."
"Average preparation delay","Average preparation delay"
"Your average delay for preparation of a shipment, in days.","Your average delay for preparation of a shipment, in days."
"Registered mail level","Registered mail level"
"Use Customs Declarations?","Use Customs Declarations?"
"If enabled, each label generation will ask Colissimo to generate and handle the Customs Declarations by default.","If enabled, each label generation will ask Colissimo to generate and handle the Customs Declarations by default."
"Check IDs","Check IDs"
"Bad credentials.","Bad credentials."
"Credentials are valid.","Credentials are valid."
"ID validation","ID validation"
"Check that IDs are valid.","Check that IDs are valid."
"Automatically create return label at the same time as the outward label", "Automatically create return label at the same time as the outward label"
"If you don't activate this option, you can still manually create return labels on order shipping page", "If you don't activate this option, you can still manually create return labels on order shipping page"
"Show service information on return label", "Show service information on return label"
"Service information", "Service information"
"Show order reference on return label", "Show order reference on return label"
"Area","Area"
"Cart weight/price starting from","Cart weight/price starting from"
"Price","Price"
"Configure the shipment prices to apply for each destination and cart weight / price you want to enable","Configure the shipment prices to apply for each destination and cart weight / price you want to enable"
"Colissimo Domicile without signature","Colissimo Domicile without signature"
